time,temperature
18:32:56,19.82

18:32:57,20.31

18:32:58,20.80

18:32:59,20.31

18:33:00,20.80

18:33:01,20.80

18:33:02,20.80

18:33:03,20.80

18:33:04,20.80

18:33:05,20.31

18:33:06,20.80

18:33:07,20.80

18:33:08,20.80

18:33:09,20.80

18:33:10,20.80

18:33:11,20.80

18:33:12,20.80

18:33:13,20.31

18:33:14,20.80

18:33:15,21.29

18:33:16,20.31

18:33:17,21.29

18:33:18,20.80

18:33:19,20.80

18:33:20,20.80

18:33:21,20.80

18:33:22,21.29

18:33:23,20.80

18:33:24,20.80

18:33:25,20.80

18:33:26,20.80

18:33:27,20.80

18:33:28,20.80

18:33:29,20.80

18:33:30,20.80

18:33:31,20.31

18:33:32,20.31

18:33:33,20.31

18:33:34,20.31

18:33:35,20.80

18:33:36,20.80

18:33:37,20.80

18:33:38,21.29

18:33:39,20.80

18:33:40,20.31

18:33:41,20.31

18:33:42,20.80

18:33:43,20.31

18:33:44,20.80

18:33:45,20.80

18:33:46,20.80

18:33:47,20.80

18:33:48,20.80

18:33:49,21.29

18:33:50,21.29

18:33:51,21.29

18:33:52,21.29

18:33:53,20.80

18:33:54,20.80

18:33:55,19.34

18:33:56,20.80

18:33:57,21.29

18:33:58,21.29

18:33:59,20.31

18:34:00,21.29

18:34:01,20.80

18:34:02,21.29

18:34:03,21.29

18:34:04,20.80

18:34:05,21.29

18:34:06,21.29

18:34:07,21.29

18:34:08,21.29

18:34:09,20.31

18:34:10,21.29

18:34:11,21.29

18:34:12,20.31

18:34:13,20.80

18:34:14,21.29

18:34:15,21.78

18:34:16,21.29

18:34:17,21.29

18:34:18,21.29

18:34:19,21.78

18:34:20,20.80

18:34:21,21.78

18:34:22,21.78

18:34:23,20.31

18:34:24,21.29

18:34:25,21.29

18:34:26,21.78

18:34:27,21.78

18:34:28,21.29

18:34:29,21.78

18:34:30,21.78

18:34:31,21.78

18:34:32,21.78

18:34:33,21.78

18:34:34,21.78

18:34:35,21.78

18:34:36,21.78

18:34:37,22.27

18:34:38,21.78

18:34:39,21.78

18:34:40,21.78

18:34:41,21.78

18:34:42,21.78

18:34:43,21.78

18:34:44,22.27

18:34:45,21.78

18:34:46,21.29

18:34:47,21.78

18:34:48,21.78

18:34:49,21.78

18:34:50,21.78

18:34:51,21.78

18:34:52,21.78

18:34:53,22.27

18:34:54,21.78

18:34:55,22.27

18:34:56,22.27

18:34:57,21.29

18:34:58,21.78

18:34:59,21.29

18:35:00,22.27

18:35:01,22.27

18:35:02,22.27

18:35:03,22.27

18:35:04,22.27

18:35:05,22.27

18:35:06,22.75

18:35:07,22.75

18:35:08,22.75

18:35:09,22.75

18:35:10,22.27

18:35:11,22.75

18:35:12,22.75

18:35:13,22.75

18:35:14,23.24

18:35:15,22.27

18:35:16,22.75

18:35:17,23.24

18:35:18,22.75

18:35:19,23.24

18:35:20,23.24

18:35:21,21.29

18:35:22,22.75

18:35:23,22.75

18:35:24,22.75

18:35:25,23.24

18:35:26,23.73

18:35:27,23.24

18:35:28,23.73

18:35:29,22.27

18:35:30,23.24

18:35:31,23.73

18:35:32,23.73

18:35:33,23.24

18:35:34,23.73

18:35:35,23.73

18:35:36,23.73

18:35:37,23.24

18:35:38,23.24

18:35:39,23.73

18:35:40,23.73

18:35:41,23.73

18:35:42,23.73

18:35:43,24.71

18:35:44,23.73

18:35:45,24.22

18:35:46,23.73

18:35:47,23.73

18:35:48,24.22

18:35:49,24.22

18:35:50,23.73

18:35:51,23.73

18:35:52,24.22

18:35:53,24.22

18:35:54,23.73

18:35:55,24.22

18:35:56,24.22

18:35:57,24.22

18:35:58,24.22

18:35:59,24.22

18:36:00,23.24

18:36:01,24.22

18:36:02,24.71

18:36:03,24.22

18:36:04,24.22

18:36:05,24.71

18:36:06,24.71

18:36:07,25.20

18:36:08,24.71

18:36:09,25.20

18:36:10,25.20

18:36:11,24.71

18:36:12,25.20

18:36:13,25.68

18:36:14,25.68

18:36:15,25.68

18:36:16,25.68

18:36:17,25.68

18:36:18,25.68

18:36:19,25.68

18:36:20,25.68

18:36:21,26.17

18:36:22,26.17

18:36:23,25.68

18:36:24,26.17

18:36:25,25.20

18:36:26,26.17

18:36:27,26.66

18:36:28,26.66

18:36:29,26.17

18:36:30,26.17

18:36:31,26.66

18:36:32,26.66

18:36:33,26.66

18:36:34,26.66

18:36:35,27.15

18:36:36,26.66

18:36:37,26.66

18:36:38,27.15

18:36:39,27.15

18:36:40,27.15

18:36:41,26.17

18:36:42,27.15

18:36:43,26.66

18:36:44,27.15

18:36:45,27.15

18:36:46,27.15

18:36:47,27.64

18:36:48,27.64

18:36:49,27.15

18:36:50,27.64

18:36:51,27.64

18:36:52,27.64

18:36:53,28.13

18:36:54,27.64

18:36:55,28.13

18:36:56,28.13

18:36:57,28.13

18:36:58,28.13

18:36:59,28.13

18:37:00,28.13

18:37:01,28.13

18:37:02,27.15

18:37:03,28.13

18:37:04,28.61

18:37:05,28.61

18:37:06,28.13

18:37:07,28.13

18:37:08,28.61

18:37:09,28.61

18:37:10,28.61

18:37:11,29.10

18:37:12,29.10

18:37:13,29.10

18:37:14,28.61

18:37:15,29.10

18:37:16,29.10

18:37:17,29.10

18:37:18,29.59

18:37:19,29.59

18:37:20,29.59

18:37:21,28.13

18:37:22,29.10

18:37:23,30.08

18:37:24,29.59

18:37:25,30.08

18:37:26,30.08

18:37:27,30.08

18:37:28,30.08

18:37:29,30.08

18:37:30,30.57

18:37:31,30.08

18:37:32,30.57

18:37:33,30.57

18:37:34,30.57

18:37:35,31.05

18:37:36,31.54

18:37:37,30.57

18:37:38,31.05

18:37:39,31.05

18:37:40,30.57

18:37:41,30.57

18:37:42,31.54

18:37:43,31.54

18:37:44,31.54

18:37:45,31.05

18:37:46,31.54

18:37:47,32.03

18:37:48,32.03

18:37:49,32.03

18:37:50,32.03

18:37:51,32.52

18:37:52,32.52

18:37:53,32.03

18:37:54,32.52

18:37:55,32.52

18:37:56,32.52

18:37:57,32.52

18:37:58,32.52

18:37:59,32.52

18:38:00,33.01

18:38:01,33.01

18:38:02,33.01

18:38:03,34.47

18:38:04,33.50

18:38:05,33.50

18:38:06,33.01

18:38:07,33.50

18:38:08,33.98

18:38:09,33.98

18:38:10,33.01

18:38:11,34.47

18:38:12,33.98

18:38:13,34.47

18:38:14,34.47

18:38:15,33.98

18:38:16,34.47

18:38:17,33.98

18:38:18,34.47

18:38:19,34.47

18:38:20,34.96

18:38:21,34.96

18:38:22,34.47

18:38:23,34.96

18:38:24,35.45

18:38:25,35.45

18:38:26,35.45

18:38:27,35.94

18:38:28,35.94

18:38:29,35.45

18:38:30,36.43

18:38:31,36.43

18:38:32,37.40

18:38:33,34.47

18:38:34,34.96

18:38:35,34.96

18:38:36,34.96

18:38:37,34.96

18:38:38,34.96

18:38:39,35.45

18:38:40,34.96

18:38:41,35.45

18:38:42,35.45

18:38:43,35.45

18:38:44,35.45

18:38:45,35.94

18:38:46,35.45

18:38:47,35.94

18:38:48,34.96

18:38:49,35.45

18:38:50,35.94

18:38:51,35.94

18:38:52,36.43

18:38:53,36.43

18:38:54,36.43

18:38:55,36.91

18:38:56,35.94

18:38:57,34.96

18:38:58,36.43

18:38:59,36.43

18:39:00,36.91

18:39:01,36.43

18:39:02,36.91

18:39:03,36.91

18:39:04,36.91

18:39:05,37.40

18:39:06,37.40

18:39:07,37.40

18:39:08,36.91

18:39:09,36.91

18:39:10,36.91

18:39:11,37.40

18:39:12,37.40

18:39:13,37.89

18:39:14,37.40

18:39:15,37.89

18:39:16,38.38

18:39:17,38.38

18:39:18,38.38

18:39:19,38.38

18:39:20,38.38

18:39:21,38.87

18:39:22,37.89

18:39:23,38.38

18:39:24,38.87

18:39:25,38.87

18:39:26,39.36

18:39:27,39.36

18:39:28,39.36

18:39:29,38.87

18:39:30,39.36

18:39:31,39.84

18:39:32,39.84

18:39:33,39.36

18:39:34,39.84

18:39:35,39.36

18:39:36,39.36

18:39:37,39.36

18:39:38,39.84

18:39:39,40.33

18:39:40,40.82

18:39:41,40.33

18:39:42,40.82

18:39:43,40.33

18:39:44,40.33

18:39:45,40.82

18:39:46,40.82

18:39:47,39.84

18:39:48,40.82

18:39:49,41.31

18:39:50,41.31

18:39:51,41.31

18:39:52,41.31

18:39:53,41.80

18:39:54,41.80

18:39:55,41.80

18:39:56,42.29

18:39:57,41.80

18:39:58,41.80

18:39:59,42.77

18:40:00,42.77

18:40:01,42.77

18:40:02,42.77

18:40:03,42.77

18:40:04,42.77

18:40:05,42.77

18:40:06,42.77

18:40:07,43.26

18:40:08,43.26

18:40:09,43.75

18:40:10,43.75

18:40:11,43.26

18:40:12,43.75

18:40:13,43.75

18:40:14,43.75

18:40:15,44.24

18:40:16,44.24

18:40:17,43.75

18:40:18,44.24

18:40:19,44.73

18:40:20,44.24

18:40:21,44.73

18:40:22,45.21

18:40:23,45.21

18:40:24,45.21

18:40:25,45.21

18:40:26,45.21

18:40:27,45.21

18:40:28,45.21

18:40:29,44.73

18:40:30,45.21

18:40:31,45.70

18:40:32,45.70

18:40:33,45.70

18:40:34,46.19

18:40:35,46.68

18:40:36,46.68

18:40:37,46.68

18:40:38,46.19

18:40:39,47.17

18:40:40,47.17

18:40:41,47.17

18:40:42,47.17

18:40:43,47.66

18:40:44,47.66

18:40:45,47.66

18:40:46,48.14

18:40:47,47.66

18:40:48,47.66

18:40:49,47.66

18:40:50,48.63

18:40:51,47.66

18:40:52,47.66

18:40:53,48.14

18:40:54,48.63

18:40:55,48.63

18:40:56,48.63

18:40:57,49.12

18:40:58,49.12

18:40:59,49.12

18:41:00,49.61

18:41:01,49.61

18:41:02,50.10

18:41:03,49.12

18:41:04,49.61

18:41:05,50.10

18:41:06,50.10

18:41:07,50.10

18:41:08,50.10

18:41:09,50.59

18:41:10,51.07

18:41:11,51.07

18:41:12,51.07

18:41:13,50.59

18:41:14,50.59

18:41:15,51.07

18:41:16,51.56

18:41:17,52.05

18:41:18,52.05

18:41:19,50.59

18:41:20,52.05

18:41:21,52.05

18:41:22,52.54

18:41:23,53.52

18:41:24,52.54

18:41:25,52.54

18:41:26,52.54

18:41:27,53.03

18:41:28,53.03

18:41:29,53.03

18:41:30,52.54

18:41:31,53.03

18:41:32,53.03

18:41:33,54.00

18:41:34,53.52

18:41:35,54.00

18:41:36,53.52

18:41:37,54.00

18:41:38,54.00

18:41:39,53.52

18:41:40,54.00

18:41:41,54.49

18:41:42,54.49

18:41:43,54.98

18:41:44,55.47

18:41:45,55.47

18:41:46,54.98

18:41:47,54.98

18:41:48,54.98

18:41:49,55.47

18:41:50,54.98

18:41:51,55.47

18:41:52,55.96

18:41:53,56.45

18:41:54,54.98

18:41:55,55.47

18:41:56,56.45

18:41:57,56.45

18:41:58,56.45

18:41:59,56.93

18:42:00,57.42

18:42:01,57.42

18:42:02,57.91

18:42:03,57.42

18:42:04,57.42

18:42:05,58.40

18:42:06,58.40

18:42:07,58.89

18:42:08,58.89

18:42:09,58.40

18:42:10,58.89

18:42:11,58.89

18:42:12,60.35

18:42:13,58.89

18:42:14,58.89

18:42:15,59.38

18:42:16,59.38

18:42:17,59.86

18:42:18,59.38

18:42:19,59.86

18:42:20,59.38

18:42:21,59.86

18:42:22,59.86

18:42:23,60.35

18:42:24,60.35

18:42:25,60.84

18:42:26,60.84

18:42:27,59.86

18:42:28,61.33

18:42:29,61.33

18:42:30,61.33

18:42:31,61.33

18:42:32,61.82

18:42:33,61.82

18:42:34,61.82

18:42:35,62.30

18:42:36,62.30

18:42:37,62.79

18:42:38,62.79

18:42:39,62.30

18:42:40,62.79

18:42:41,62.30

18:42:42,62.79

18:42:43,63.28

18:42:44,62.79

18:42:45,63.28

18:42:46,63.77

18:42:47,64.75

18:42:48,63.77

18:42:49,63.28

18:42:50,64.26

18:42:51,63.77

18:42:52,64.26

18:42:53,64.75

18:42:54,64.75

18:42:55,65.23

18:42:56,64.26

18:42:57,64.75

18:42:58,65.23

18:42:59,65.23

18:43:00,65.72

18:43:01,65.23

18:43:02,65.72

18:43:03,66.21

18:43:04,66.21

18:43:05,66.70

18:43:06,66.70

18:43:07,66.70

18:43:08,66.70

18:43:09,67.19

18:43:10,67.19

18:43:11,67.19

18:43:12,67.68

18:43:13,67.68

18:43:14,67.68

18:43:15,67.68

18:43:16,67.68

18:43:17,67.68

18:43:18,68.65

18:43:19,68.16

18:43:20,68.16

18:43:21,68.65

18:43:22,69.14

18:43:23,69.14

