time,temperature
12:20:20,20.80

12:20:21,21.29

12:20:22,21.29

12:20:23,21.29

12:20:24,21.29

12:20:25,21.29

12:20:26,20.80

12:20:27,20.31

12:20:28,21.78

12:20:29,20.80

12:20:30,20.80

12:20:31,20.80

12:20:32,20.80

12:20:33,20.31

12:20:34,20.80

12:20:35,20.80

12:20:36,20.80

12:20:37,20.31

12:20:38,21.29

12:20:39,20.80

12:20:40,20.31

12:20:41,20.31

12:20:42,20.31

12:20:43,20.31

12:20:44,19.34

12:20:45,20.31

12:20:46,20.31

12:20:47,20.31

12:20:48,20.31

12:20:49,20.31

12:20:50,20.31

12:20:51,19.82

12:20:52,19.82

12:20:53,19.82

12:20:54,19.34

12:20:55,20.31

12:20:56,19.82

12:20:57,19.34

12:20:58,19.82

12:20:59,19.34

12:21:00,19.34

12:21:01,19.82

12:21:02,19.82

12:21:03,19.82

12:21:04,19.82

12:21:05,19.34

12:21:06,19.34

12:21:07,19.34

12:21:08,19.82

12:21:09,19.82

12:21:10,19.34

12:21:11,19.82

12:21:12,19.34

12:21:13,19.34

12:21:14,19.34

12:21:15,19.34

12:21:16,18.36

12:21:17,19.34

12:21:18,19.34

12:21:19,19.82

12:21:20,19.34

12:21:21,19.34

12:21:22,17.87

12:21:23,19.34

12:21:24,19.34

12:21:25,19.34

12:21:26,19.34

12:21:27,19.34

12:21:28,19.34

12:21:29,19.34

12:21:30,19.34

12:21:31,19.34

12:21:32,18.85

12:21:33,18.36

12:21:34,18.85

12:21:35,19.34

12:21:36,18.85

12:21:37,18.85

12:21:38,19.34

12:21:39,18.85

12:21:40,18.85

12:21:41,18.36

12:21:42,19.34

12:21:43,18.36

12:21:44,19.34

12:21:45,19.34

12:21:46,18.85

12:21:47,18.85

12:21:48,18.85

12:21:49,18.85

12:21:50,18.85

12:21:51,18.85

12:21:52,19.34

12:21:53,18.85

12:21:54,18.85

12:21:55,18.85

12:21:56,18.85

12:21:57,18.85

12:21:58,18.85

12:21:59,18.85

12:22:00,18.85

12:22:01,19.34

12:22:02,18.85

12:22:03,18.85

12:22:04,19.34

12:22:05,18.85

12:22:06,18.85

12:22:07,18.85

12:22:08,19.34

12:22:09,19.34

12:22:10,18.85

12:22:11,18.85

12:22:12,19.34

12:22:13,18.85

12:22:14,19.34

12:22:15,18.36

12:22:16,18.36

12:22:17,18.85

12:22:18,19.34

12:22:19,19.34

12:22:20,19.34

12:22:21,19.34

12:22:22,19.34

12:22:23,19.34

12:22:24,19.34

12:22:25,19.34

12:22:26,19.34

12:22:27,19.34

12:22:28,19.34

12:22:29,19.34

12:22:30,19.34

12:22:31,18.85

12:22:32,19.34

12:22:33,18.36

12:22:34,19.34

12:22:35,19.34

12:22:36,18.85

12:22:37,18.36

12:22:38,19.34

12:22:39,19.34

12:22:40,19.34

12:22:41,19.34

12:22:42,19.34

12:22:43,18.85

12:22:44,19.34

12:22:45,19.34

12:22:46,19.34

12:22:47,19.82

12:22:48,19.82

12:22:49,19.82

12:22:50,19.34

12:22:51,17.87

12:22:52,19.82

12:22:53,19.34

12:22:54,19.82

12:22:55,19.34

12:22:56,19.82

12:22:57,19.82

12:22:58,19.82

12:22:59,19.82

12:23:00,20.31

12:23:01,19.34

12:23:02,20.31

12:23:03,19.82

12:23:04,19.34

12:23:05,19.34

12:23:06,19.82

12:23:07,20.31

12:23:08,19.82

12:23:09,20.31

12:23:10,20.31

12:23:11,19.82

12:23:12,20.31

12:23:13,19.34

12:23:14,19.82

12:23:15,19.82

12:23:16,20.31

12:23:17,20.80

12:23:18,20.80

12:23:19,20.80

12:23:20,20.80

12:23:21,20.80

12:23:22,20.80

12:23:23,20.80

12:23:24,20.80

12:23:25,20.80

12:23:26,20.31

12:23:27,21.29

12:23:28,20.80

12:23:29,21.29

12:23:30,21.29

12:23:31,21.29

12:23:32,21.29

12:23:33,21.78

12:23:34,20.80

12:23:35,21.78

12:23:36,21.29

12:23:37,20.80

12:23:38,21.78

12:23:39,21.78

12:23:40,21.78

