time,temperature
15:37:53,20.80

15:37:54,21.29

15:37:55,21.29

15:37:56,20.80

15:37:57,20.80

15:37:58,20.80

15:37:59,20.80

15:38:00,20.80

15:38:01,21.29

15:38:02,20.80

15:38:03,20.80

15:38:04,20.80

15:38:05,20.80

15:38:06,20.80

15:38:07,20.80

15:38:08,20.80

15:38:09,20.80

15:38:10,21.29

15:38:11,21.29

15:38:12,20.80

15:38:13,21.29

15:38:14,20.80

15:38:15,20.80

15:38:16,20.80

15:38:17,21.29

15:38:18,20.80

15:38:19,20.80

15:38:20,20.80

15:38:21,20.80

15:38:22,20.80

15:38:23,20.80

15:38:24,20.80

15:38:25,20.80

15:38:26,20.80

15:38:27,20.80

15:38:28,20.80

15:38:29,20.80

15:38:30,20.80

15:38:31,20.80

15:38:32,20.80

15:38:33,20.80

15:38:34,20.80

15:38:35,20.80

15:38:36,20.80

15:38:37,20.80

15:38:38,20.80

15:38:39,20.80

15:38:40,20.80

15:38:41,21.29

15:38:42,20.80

15:38:43,21.29

15:38:44,20.80

15:38:45,20.80

15:38:46,20.80

15:38:47,20.80

15:38:48,21.29

15:38:49,20.80

15:38:50,20.80

15:38:51,20.80

15:38:52,20.80

15:38:53,20.80

15:38:54,21.29

15:38:55,20.80

15:38:56,20.80

15:38:57,21.29

15:38:58,20.80

15:38:59,20.80

15:39:00,20.80

15:39:01,21.29

15:39:02,20.80

15:39:03,21.29

15:39:04,20.80

15:39:05,20.80

15:39:06,21.29

15:39:07,20.80

15:39:08,20.80

15:39:09,21.29

15:39:10,20.80

15:39:11,20.80

15:39:12,20.80

15:39:13,20.80

15:39:14,20.80

15:39:15,21.29

15:39:16,20.80

15:39:17,20.80

15:39:18,21.29

15:39:19,20.80

15:39:20,21.29

15:39:21,20.80

15:39:22,20.80

15:39:23,20.80

15:39:24,20.80

15:39:25,20.80

15:39:26,20.80

15:39:27,20.80

15:39:28,20.80

15:39:29,21.29

15:39:30,20.80

15:39:31,20.80

15:39:32,20.80

15:39:33,20.80

15:39:34,20.80

15:39:35,20.80

15:39:36,20.80

15:39:37,20.80

15:39:38,20.80

15:39:39,20.80

15:39:40,20.80

15:39:41,20.80

15:39:42,20.80

15:39:43,20.80

15:39:44,20.80

15:39:45,20.80

15:39:46,20.80

15:39:47,20.80

15:39:48,20.80

15:39:49,20.80

15:39:50,20.80

15:39:51,20.80

15:39:52,20.80

15:39:53,20.80

15:39:54,20.80

15:39:55,20.80

15:39:56,20.80

15:39:57,20.80

15:39:58,20.80

15:39:59,20.80

15:40:00,20.80

15:40:01,20.80

15:40:02,20.80

15:40:03,20.80

15:40:04,20.80

15:40:05,20.80

15:40:06,20.80

15:40:07,20.80

15:40:08,20.80

15:40:09,20.80

15:40:10,20.80

15:40:11,20.80

15:40:12,20.80

15:40:13,20.80

15:40:14,20.80

15:40:15,20.80

15:40:16,20.80

15:40:17,20.80

15:40:18,20.80

15:40:19,20.80

15:40:20,20.80

15:40:21,20.80

15:40:22,20.80

15:40:23,21.29

15:40:24,21.29

15:40:25,21.29

15:40:26,20.80

15:40:27,20.80

15:40:28,20.80

15:40:29,20.80

15:40:30,20.80

15:40:31,20.80

15:40:32,20.80

15:40:33,20.80

15:40:34,20.80

